cust_id,age,gender,category,purchase_amount,rating,discount,subscribed,payment_method,cluster
1,55,Male,Clothing,53.0,3.1,1,1,Other,2
2,19,Male,Clothing,64.0,3.1,1,1,Cash,2
3,50,Male,Clothing,73.0,3.1,1,1,Credit Card,2
4,21,Male,Clothing,90.0,3.5,1,1,PayPal,2
5,45,Male,Clothing,49.0,2.7,1,1,PayPal,2
6,46,Male,Clothing,20.0,2.9,1,1,Other,2
7,63,Male,Clothing,85.0,3.2,1,1,Cash,2
8,27,Male,Clothing,34.0,3.2,1,1,Credit Card,2
9,26,Male,Clothing,97.0,2.6,1,1,Other,2
10,57,Male,Jewelry & Accessories,31.0,4.8,1,1,Cash,2
11,53,Male,Clothing,34.0,4.1,1,1,Other,2
12,30,Male,Clothing,68.0,4.9,1,1,Other,2
13,61,Male,Clothing,72.0,4.5,1,1,Other,2
14,65,Male,Clothing,51.0,4.7,1,1,PayPal,2
15,64,Male,Clothing,53.0,4.7,1,1,Debit Card,2
16,64,Male,Clothing,81.0,2.8,1,1,PayPal,2
17,25,Male,Jewelry & Accessories,36.0,4.1,1,1,Debit Card,2
18,53,Male,Clothing,38.0,4.7,1,1,Other,2
19,52,Male,Clothing,48.0,4.6,1,1,Cash,2
20,66,Male,Clothing,90.0,3.3,1,1,Debit Card,2
21,21,Male,Clothing,51.0,2.8,1,1,Cash,2
22,31,Male,Clothing,62.0,4.1,1,1,Debit Card,2
23,56,Male,Clothing,37.0,3.2,1,1,Debit Card,2
24,31,Male,Clothing,88.0,4.4,1,1,Credit Card,2
25,18,Male,Clothing,22.0,2.9,1,1,Debit Card,2
26,18,Male,Clothing,25.0,3.6,1,1,PayPal,2
27,38,Male,Jewelry & Accessories,20.0,3.6,1,1,Credit Card,2
28,56,Male,Clothing,56.0,5.0,1,1,Other,2
29,54,Male,Jewelry & Accessories,94.0,4.4,1,1,PayPal,2
30,31,Male,Clothing,48.0,4.1,1,1,Credit Card,2
31,57,Male,Jewelry & Accessories,31.0,4.7,1,1,Credit Card,2
32,33,Male,Clothing,79.0,4.7,1,1,Other,2
33,36,Male,Clothing,67.0,4.9,1,1,Other,2
34,54,Male,Clothing,38.0,3.3,1,1,Cash,2
35,36,Male,Clothing,91.0,4.6,1,1,PayPal,2
36,54,Male,Clothing,33.0,4.0,1,1,Credit Card,2
37,35,Male,Clothing,69.0,4.6,1,1,PayPal,2
38,35,Male,Clothing,45.0,2.8,1,1,PayPal,2
39,29,Male,Clothing,37.0,3.7,1,1,Other,2
40,70,Male,Clothing,60.0,4.2,1,1,Credit Card,2
41,69,Male,Jewelry & Accessories,76.0,4.6,1,1,Debit Card,2
42,67,Male,Jewelry & Accessories,39.0,4.5,1,1,Other,2
43,20,Male,Clothing,100.0,4.1,1,1,PayPal,2
44,25,Male,Jewelry & Accessories,69.0,3.7,1,1,PayPal,2
45,39,Male,Jewelry & Accessories,53.0,4.6,1,1,PayPal,2
46,50,Male,Clothing,21.0,2.9,1,1,PayPal,2
47,57,Male,Clothing,43.0,2.9,1,1,Cash,2
48,55,Male,Jewelry & Accessories,54.0,4.5,1,1,Cash,2
49,42,Male,Clothing,55.0,2.7,1,1,Cash,2
50,68,Male,Clothing,30.0,4.6,1,1,Debit Card,2
51,49,Male,Clothing,28.0,3.7,1,1,Debit Card,2
52,59,Male,Clothing,59.0,4.7,1,1,Credit Card,2
53,42,Male,Clothing,20.0,2.6,1,1,Credit Card,2
54,29,Male,Clothing,24.0,3.9,1,1,Credit Card,2
55,47,Male,Clothing,94.0,4.2,1,1,Debit Card,2
56,40,Male,Clothing,28.0,3.0,1,1,Credit Card,2
57,41,Male,Jewelry & Accessories,73.0,4.7,1,1,Credit Card,2
58,21,Male,Clothing,64.0,4.4,1,1,Debit Card,2
59,69,Male,Clothing,54.0,4.2,1,1,Other,2
60,63,Male,Jewelry & Accessories,79.0,4.6,1,1,Debit Card,2
61,50,Male,Clothing,37.0,4.0,1,1,Cash,2
62,55,Male,Jewelry & Accessories,68.0,4.7,1,1,Credit Card,2
63,30,Male,Clothing,21.0,3.8,1,1,Credit Card,2
64,33,Male,Jewelry & Accessories,79.0,2.7,1,1,Credit Card,2
65,65,Male,Clothing,83.0,4.8,1,1,Debit Card,2
66,65,Male,Jewelry & Accessories,36.0,4.8,1,1,Other,2
67,31,Male,Clothing,94.0,4.7,1,1,Other,2
68,45,Male,Clothing,33.0,4.4,1,1,Debit Card,2
69,57,Male,Jewelry & Accessories,46.0,3.9,1,1,Cash,2
70,48,Male,Jewelry & Accessories,70.0,4.4,1,1,Cash,2
71,22,Male,Jewelry & Accessories,29.0,4.2,1,1,Debit Card,2
72,36,Male,Clothing,48.0,2.9,1,1,Other,2
73,18,Male,Clothing,26.0,2.9,1,1,Other,2
74,48,Male,Clothing,85.0,2.7,1,1,Other,2
75,49,Male,Jewelry & Accessories,58.0,4.5,1,1,Cash,2
76,64,Male,Jewelry & Accessories,85.0,2.7,1,1,Credit Card,2
77,50,Male,Jewelry & Accessories,43.0,4.2,1,1,Other,2
78,22,Male,Clothing,53.0,3.3,1,1,Debit Card,2
79,50,Male,Clothing,91.0,4.7,1,1,Other,2
80,38,Male,Clothing,96.0,2.6,1,1,Other,2
81,19,Male,Clothing,72.0,3.3,1,1,Credit Card,2
82,67,Male,Clothing,96.0,2.6,1,1,Credit Card,2
83,19,Male,Clothing,28.0,4.0,1,1,Credit Card,2
84,36,Male,Clothing,40.0,4.1,1,1,Other,2
85,52,Male,Clothing,32.0,4.4,1,1,Other,2
86,53,Male,Jewelry & Accessories,95.0,4.5,1,1,Debit Card,2
87,24,Male,Clothing,41.0,3.7,1,1,Cash,2
88,52,Male,Clothing,53.0,3.7,1,1,Debit Card,2
89,33,Male,Clothing,47.0,3.5,1,1,Credit Card,2
90,47,Male,Clothing,83.0,3.6,1,1,Cash,2
91,25,Male,Jewelry & Accessories,48.0,2.9,1,1,Credit Card,2
92,44,Male,Jewelry & Accessories,99.0,4.6,1,1,Credit Card,2
93,61,Male,Clothing,87.0,4.4,1,1,Other,2
94,37,Male,Clothing,62.0,4.5,1,1,Credit Card,2
95,58,Male,Clothing,76.0,4.6,1,1,Credit Card,2
96,37,Male,Clothing,100.0,3.8,1,1,PayPal,2
97,32,Male,Jewelry & Accessories,73.0,3.6,1,1,Other,2
98,21,Male,Clothing,92.0,4.8,1,1,Cash,2
99,20,Male,Clothing,67.0,2.6,1,1,Other,2
100,26,Male,Clothing,40.0,3.7,1,1,Debit Card,2
101,62,Male,Jewelry & Accessories,98.0,2.7,1,1,Cash,2
102,27,Male,Clothing,85.0,4.6,1,1,Credit Card,2
